R,G,B,soft,dynamic,mood
193,230,212,3,0,맑은
255,255,255,3,0,맑은
246,246,246,3,0,맑은
230,245,238,3,1,맑은
248,248,212,3,1,맑은
181,225,234,3,-1,맑은
203,205,220,3,-1,맑은
231,181,96,3,3,귀여운
64,178,142,3,3,귀여운
250,233,29,3,3,귀여운
255,175,166,3,2,귀여운
252,239,109,3,2,귀여운
255,207,122,3,2,귀여운
169,208,53,2,3,귀여운
235,139,36,2,3,귀여운
246,235,21,2,3,귀여운
235,202,213,2,-2,온화한
249,247,222,2,-2,온화한
206,211,217,2,-2,온화한
240,228,238,2,-3,온화한
164,154,152,2,-3,온화한
242,248,246,2,-3,온화한
248,222,189,2,-2,온화한
160,135,156,2,-2,온화한
196,223,206,2,-2,온화한
20,148,100,2,2,경쾌한
248,248,217,2,2,경쾌한
203,219,43,2,2,경쾌한
240,81,36,1,3,경쾌한
252,196,45,1,3,경쾌한
247,236,20,1,3,경쾌한
30,68,137,1,2,경쾌한
255,255,255,1,2,경쾌한
116,152,170,1,2,경쾌한
238,39,78,-1,3,경쾌한
251,244,156,-1,3,경쾌한
58,97,162,-1,3,경쾌한
219,230,210,2,1,내츄럴한
248,248,217,2,1,내츄럴한
233,225,185,2,1,내츄럴한
178,167,51,2,-1,내츄럴한
249,240,118,2,-1,내츄럴한
145,134,54,2,-1,내츄럴한
247,236,20,2,1,내츄럴한
184,109,41,2,1,내츄럴한
104,100,45,2,1,내츄럴한
145,134,54,2,-1,내츄럴한
247,247,247,2,-1,내츄럴한
180,145,101,2,-1,내츄럴한
104,106,82,1,-2,내츄럴한
155,168,136,1,-2,내츄럴한
89,111,50,1,-2,내츄럴한
181,38,37,1,-1,화려한
248,243,155,1,-1,화려한
59,144,86,1,-1,화려한
245,127,33,-1,2,화려한
218,230,155,-1,2,화려한
29,54,68,-1,2,화려한
181,38,37,-1,2,화려한
145,134,54,-1,2,화려한
36,10,60,-1,2,화려한
45,17,64,-1,1,화려한
105,67,79,-1,1,화려한
195,167,160,-1,1,화려한
120,121,112,1,1,우아한
226,227,224,1,1,우아한
194,182,134,1,1,우아한
220,194,153,1,1,우아한
114,101,110,1,1,우아한
155,168,136,1,1,우아한
103,103,103,-1,-1,우아한
199,166,139,-1,-1,우아한
79,104,83,-1,-1,우아한
161,152,149,-1,-2,우아한
65,65,60,-1,-2,우아한
136,155,145,-1,-2,우아한
194,182,134,1,2,부드러운
120,121,112,1,2,부드러운
145,175,151,1,2,부드러운
232,221,219,1,3,부드러운
238,238,237,1,3,부드러운
222,221,221,1,3,부드러운
196,196,195,1,3,부드러운
218,218,217,1,3,부드러운
242,220,217,-1,-3,부드러운
214,160,136,-1,-3,부드러운
232,221,219,-1,-3,부드러운
204,34,37,-1,3,다이나믹한
1,1,1,-1,3,다이나믹한
245,127,33,-1,3,다이나믹한
59,144,86,-2,2,다이나믹한
249,240,111,-2,2,다이나믹한
66,86,129,-2,2,다이나믹한
30,68,137,-2,3,다이나믹한
216,33,38,-2,3,다이나믹한
216,33,38,-3,2,다이나믹한
31,44,91,-3,2,다이나믹한
248,249,248,-2,1,모던한
41,14,62,-2,1,모던한
92,98,92,-2,1,모던한
121,33,22,-2,1,모던한
136,155,145,-2,1,모던한
22,41,70,-2,1,모던한
30,30,30,-2,1,모던한
247,247,247,-2,1,모던한
15,65,57,-2,1,모던한
31,44,91,-3,-1,모던한
85,102,88,-3,-1,모던한
49,49,49,-3,-1,모던한
150,150,139,-3,-1,모던한
31,44,91,-3,-1,모던한
203,80,59,-1,-1,젠틀한
236,219,186,-1,-1,젠틀한
233,189,146,-1,-1,젠틀한
93,31,16,-2,-1,젠틀한
132,123,98,-2,-1,젠틀한
41,14,62,-2,-1,젠틀한
86,63,26,-2,-2,젠틀한
120,121,112,-2,-2,젠틀한
84,75,30,-2,-2,젠틀한
125,87,32,-1,-2,고귀한
197,183,141,-1,-2,고귀한
104,106,82,-1,-2,고귀한
65,65,60,-2,-2,고귀한
214,160,136,-2,-2,고귀한
176,188,161,-2,-2,고귀한
232,185,140,-1,-3,고귀한
248,248,217,-1,-3,고귀한
194,182,134,-1,-3,고귀한
30,30,30,-2,-3,고귀한
114,101,100,-2,-3,고귀한
65,65,60,-2,-3,고귀한
